Monetary policy stance,Sentence,Central bank,Country
dovish,"It was also said that current inflation was below the inflation target and the fact that it was measured using a new index was not relevant, as the new index had brought the consumer basket structure more into line with reality. ",Czech National Bank,Czechia
dovish,According the new forecast a modest slowdown in economic growth and persisting low monetary policy inflation (i.e. consumer price inflation adjusted for the first-round effects of indirect taxes) could be expected. ,Czech National Bank,Czechia
dovish,"Compared to the previous macroeconomic forecast from October last year, expected inflation and forecast-consistent interest rates had been revised downwards. ",Czech National Bank,Czechia
dovish,"Opinions were also expressed that a future rate cut could not be ruled out, depending on how the situation develops. ",Czech National Bank,Czechia
dovish,"Compared to the previous macroeconomic forecast from October last year, expected inflation and forecast-consistent interest rates had been revised downwards. ",Czech National Bank,Czechia
dovish,"On the other hand, however, it was said that the lower-than-expected inflation, even though resulting from a change in the basket structure, was a downside risk of the forecast, or a risk of non-fulfilment of the inflation target.",Czech National Bank,Czechia
dovish,"In this context, it was also said that monetary policy, ceteris paribus, should react to lower inflation.",Czech National Bank,Czechia
dovish,"On the other hand, however, it was said that consumer credit growth was slowing.",Czech National Bank,Czechia
dovish,A role had been played by the new definition of the consumer basket and lower-than-expected inflation in a number of segments.,Czech National Bank,Czechia
dovish,"It was said that, aside from the impacts of the indirect tax increases, the planned reform of public finances would also probably generate a slowdown in demand-pull inflation impulses. ",Czech National Bank,Czechia
dovish,"A downside risk, by contrast, was August inflation, which at 2.4% in annual terms had come in 0.2 percentage point lower than forecasted, mainly due to adjusted inflation excluding fuels.",Czech National Bank,Czechia
dovish,"Against this, it was said that the reduction in the budget deficit would probably mean a fall in expenditure and hence a decrease in government consumption.",Czech National Bank,Czechia
dovish,"In the context of the turmoil on the financial markets, the Board agreed that lower growth abroad and, as a result, weaker external demand could be expected by comparison with the forecast assumptions. ",Czech National Bank,Czechia
dovish,The Board discussed the current evolution of the exchange rate and agreed that its present level was strongly anti-inflationary compared to the forecast.,Czech National Bank,Czechia
dovish,"The forecast had responded to the changes in the global environment, in particular the significant fall in the one-year EURIBOR interest rate path resulting from the financial market turmoil, the uncertainty regarding its impact on real economic activity and the resulting monetary policy response.",Czech National Bank,Czechia
dovish,"In line with this, real GDP growth would slow from the 6.2% expected this year to 5% in 2008 and then speed up again to 5.6% in 2009.",Czech National Bank,Czechia
dovish,"During a discussion of the aggregate demand situation the Board agreed that owing to the turbulence and heightened nervousness in the financial markets there was a risk of lower-than-expected growth abroad and, as a result, weaker external demand.",Czech National Bank,Czechia
dovish,"By contrast, the downside factors included a substantially stronger exchange rate, a slightly lower expected level of economic activity in the third quarter and an outlook of somewhat slower economic growth abroad.",Czech National Bank,Czechia
dovish,"The overall risks of the forecast were assessed as being slightly on the downside, with the principal upside and downside risks diverging to either side rather significantly.",Czech National Bank,Czechia
dovish,Some of the board members expressed concerns about potential persistence of the adverse consequences of the mortgage crisis for the financial sector and about a possible future slowdown in euro area growth.,Czech National Bank,Czechia
dovish,Attention was given to signals of a possible modest downturn in domestic economic activity in the third quarter of 2007.,Czech National Bank,Czechia
dovish,Further dampening of inflationary pressures would be aided by a slowdown in economic growth.,Czech National Bank,Czechia
dovish,"The new forecast responded among other things to changes in the external environment, where the financial market turbulence was starting to adversely affect the economic growth of the major global economies.",Czech National Bank,Czechia
dovish,The economic activity outlook for the euro area countries had been lowered.,Czech National Bank,Czechia
dovish,"Against this, it was argued that the previously mentioned slowdown in global economic activity, which might turn out to be far more significant than forecasted, might adversely affect the economic growth of the Czech Republic.",Czech National Bank,Czechia
dovish,The possibility of significantly lower interest rates in the euro area was discussed in the context of the recent dramatic interest rate reduction in the USA. ,Czech National Bank,Czechia
dovish,"The slowdown in global economic activity might also lead to some easing of the demand pressures on world prices of food and oil, which in the recent past had risen sharply and had thus contributed to the cost shock to Czech prices.",Czech National Bank,Czechia
dovish,"The newly available information suggested that the risks to inflation in relation to the February forecast were on both the upside and the downside, but had moved towards the downside overall.",Czech National Bank,Czechia
dovish,"By contrast, the lower-than-expected wage growth at the end of 2007 could be termed a downside risk in relation to the forecast.",Czech National Bank,Czechia
dovish,The external environment and also the current settings of the monetary conditions were included among the downside risks.,Czech National Bank,Czechia
dovish,The financial crisis in some segments of the international credit market could lead to a downswing in European economic growth.,Czech National Bank,Czechia
dovish,The downside risks included an expected slowdown in external demand and appreciation of the koruna exchange rate.,Czech National Bank,Czechia
dovish,It was repeatedly noted that the crisis in the US financial markets and the slowdown of the US economy could have an anti-inflationary effect.,Czech National Bank,Czechia
dovish,"By 2009, the real economy was expected to turn anti-inflationary, as a result of a tight exchange rate component of the monetary conditions, restrictive fiscal policy and weaker external demand.",Czech National Bank,Czechia
dovish,"In addition, it was likely that the exchange rate shock would temporarily slow investment activity, and a dampening effect on the labour market could also be expected.",Czech National Bank,Czechia
dovish,"The prevailing view was that the anti-inflationary effect of the strong exchange rate would be significant, thanks mainly to effective competition in the tradable goods sector.",Czech National Bank,Czechia
dovish,Slowing credit growth might therefore be expected. ,Czech National Bank,Czechia
dovish,GDP growth would continue slowing in the coming quarters owing to the dampening effect of the very strong exchange rate and weak external demand on export growth and also as a result of slowing gross capital formation.,Czech National Bank,Czechia
dovish,"The recent correction in the commodity markets was identified as a downside risk to inflation, as commodity prices might stabilise at lower levels than assumed by the forecast.",Czech National Bank,Czechia
dovish,"At the close of the meeting the Board decided unanimously to lower the CNB two-week repo rate to 3.50%, effective 8 August 2004.",Czech National Bank,Czechia
dovish,"At the same time it decided to lower the discount rate and Lombard rate by the same amount, to 2.50% and 4.50% respectively.",Czech National Bank,Czechia
dovish,It was mentioned that this development might be linked with cooling economic growth and falling consumer confidence abroad.,Czech National Bank,Czechia
dovish,"At 6.5%, inflation in August had been 0.3 percentage point lower than forecasted.",Czech National Bank,Czechia
dovish,"The exchange rate, which had, on average, appreciated more markedly than forecasted during the third quarter, was also acting in a slightly anti-inflationary directio",Czech National Bank,Czechia
dovish,The Board agreed that the overall balance of risks posed a slight downside risk to inflation. ,Czech National Bank,Czechia
dovish,The Board stated that the slowdown in economic growth owing to the worse external demand outlook could be more significant than forecasted.,Czech National Bank,Czechia
dovish,It was mentioned that the outlook for external demand was deteriorating significantly and the effects of the financial crisis would undoubtedly also appear in Europe.,Czech National Bank,Czechia
