Period;GDP Resources: Quarterly, Constant Prices, B1GM Gross domestic product, Nominal values in CZK mill., Seasonally adjusted * (Million of CZK);
2024-06-30;1571577;
2024-03-31;1565702;
2023-12-31;1559975;
2023-09-30;1555623;
2023-06-30;1561483;
2023-03-31;1559347;
2022-12-31;1559226;
2022-09-30;1561344;
2022-06-30;1558752;
2022-03-31;1554963;
2021-12-31;1544529;
2021-09-30;1529949;
2021-06-30;1503885;
2021-03-31;1483125;
2020-12-31;1486510;
2020-09-30;1471478;
2020-06-30;1370402;
2020-03-31;1501578;
2019-12-31;1555524;
2019-09-30;1544067;
2019-06-30;1532801;
2019-03-31;1525222;
2018-12-31;1505541;
2018-09-30;1489225;
2018-06-30;1479350;
2018-03-31;1474798;
2017-12-31;1468805;
2017-09-30;1458256;
2017-06-30;1446651;
2017-03-31;1412260;
2016-12-31;1389946;
2016-09-30;1377343;
2016-06-30;1364553;
2016-03-31;1360626;
2015-12-31;1356750;
2015-09-30;1349579;
2015-06-30;1334164;
2015-03-31;1318178;
2014-12-31;1294085;
2014-09-30;1282322;
2014-06-30;1268194;
2014-03-31;1257680;
2013-12-31;1262496;
2013-09-30;1248451;
2013-06-30;1241901;
2013-03-31;1237401;
2012-12-31;1242222;
2012-09-30;1243768;
2012-06-30;1248373;
2012-03-31;1257527;
2011-12-31;1259219;
2011-09-30;1258148;
2011-06-30;1258556;
2011-03-31;1251551;
2010-12-31;1249932;
2010-09-30;1244103;
2010-06-30;1231718;
2010-03-31;1214384;
2009-12-31;1204900;
2009-09-30;1205097;
2009-06-30;1199956;
2009-03-31;1205937;
2008-12-31;1245886;
2008-09-30;1273831;
2008-06-30;1270536;
2008-03-31;1262165;
2007-12-31;1254789;
2007-09-30;1238761;
2007-06-30;1222685;
2007-03-31;1214258;
2006-12-31;1191950;
2006-09-30;1177114;
2006-06-30;1163328;
2006-03-31;1142017;
2005-12-31;1120099;
2005-09-30;1101308;
2005-06-30;1085815;
2005-03-31;1070593;
2004-12-31;1052047;
2004-09-30;1034277;
2004-06-30;1019738;
2004-03-31;1007138;
2003-12-31;995329;
2003-09-30;988945;
2003-06-30;978404;
2003-03-31;969682;
2002-12-31;958538;
2002-09-30;954622;
2002-06-30;949170;
2002-03-31;944423;
2001-12-31;945207;
2001-09-30;938584;
2001-06-30;934743;
2001-03-31;933739;
2000-12-31;921743;
2000-09-30;918334;
2000-06-30;907340;
2000-03-31;898911;
1999-12-31;887011;
1999-09-30;876422;
1999-06-30;868532;
1999-03-31;864538;
1998-12-31;864334;
1998-09-30;864398;
1998-06-30;863704;
1998-03-31;861091;
1997-12-31;861920;
1997-09-30;864765;
1997-06-30;869346;
1997-03-31;870901;
1996-12-31;875972;
1996-09-30;875915;
1996-06-30;870935;
1996-03-31;865698;
