dovish	The analysis of macroeconomic indicators developments reveals a consolidation of disinflation with a certain lag, a persistent economic contraction and an ongoing significant adjustment of the external deficit, along with a worsening of foreign investors? perception regarding the Romanian economy amid heightened tensions in the domestic political field.
hawkish	They also pointed to the relatively high level of production capacity utilisation, which should translate into revival of enterprises? investment demand, particularly considering their very good financial situation.
neutral	In the Council?s assessment, the assumptions underlying the September Inflation Report had continued to hold.
neutral	In June 2016 the annual inflation rate had remained unchanged.
dovish	While discussing the outlook for economic growth in Poland, it was pointed out that in May the growth of industrial output was markedly lower than expected, which had been previously signalled by business sentiment indicators.
hawkish	Rising exports were likely to play a role as a source of growth, supported among other factors by an increase in market share due to the establishment of new production capacities in the automobile industry, in addition to the recovery in external activity.
hawkish	The opinion was expressed that some improvement had occurred since the autumn, when the markets had been frozen. 
neutral	A few Council members indicated that considering the already implemented monetary policy easing as well as expected gradual improvement in business conditions in the second half of 2013, the current cycle of NBP interest rate cuts might be approaching a pause or an end.
hawkish	There was a consensus that global cost pressures were a significant source of the domestic price growth. 
dovish	Several members noted that there had been further deceleration in global economic activity and, therefore, external demand was unlikely to contribute to a pick-up in domestic economic growth.
neutral	After the presentation of the April situation report, the Board discussed the new forecast.
dovish	The decline in demand, coupled with the more persistent effect of fiscal adjustment measures than earlier thought, could contribute to the disinflation process continuing.
dovish	Some Council members emphasised that, in the face of the deteriorating situation in international financial markets and the dampening prospect of economic growth, major central banks were expected to ease their monetary policy.
hawkish	The adjusted monetary policy stance should ensure a firm and sustainable anchoring of inflation expectations at low levels, in order to limit the temporary rise of aggregate prices and bring annual price growth as fast as possible within the medium-term disinflation trajectory agreed with the government.
hawkish	According to some indicators, inflation expectations had started to creep up. 
neutral	It was said several times that in the current situation it was appropriate to wait and see whether inflationary tendencies materialised in the domestic economy.
neutral	In the Council?s assessment, in the conditions of increased uncertainty associated with the turmoil in international financial markets, the balance of risks for future inflation pointed to the necessity of a monetary policy tightening.
neutral	Nonetheless, a majority of the board members agreed that the slowdown in industrial production growth and the drop in exports were temporary.
dovish	Inflation expectations had fallen to a historic low.
hawkish	In addition, inflation could peak at a higher level in 2007 due to greater-than-expected increases in administered prices earlier in the year, which might also contribute to a rise in inflation expectations and a build-up of inflationary pressure. 
hawkish	Most of the newly available data on the domestic economy were assessed as representing upside risks to inflation
hawkish	Some of the board members expressed the opinion that the unexpectedly higher growth in household consumption could represent an upside risk to inflation.
hawkish	In parallel with strong wage growth expected to continue this year, household consumption was likely to grow dynamically, which would be supported by the realisation of consumption deferred from previous years as well.
dovish	On another argument, however, core inflation was lower than the path outlined in the November projection, due to the slower pass-through of the unprocessed food price shock, which was positive news in terms of the longer-term outlook for inflation.
hawkish	Furthermore, it was shown that fundamentals were expected to exert somewhat stronger-than-previously-anticipated inflationary pressures, and relatively steady over the projection horizon, given the forecasts on the cyclical position of the economy, wage costs, as well as import price dynamics.
dovish	In May 2017, inflation had eased to 2.1 percent.
hawkish	At 4% in October, annual consumer price inflation had been 0.2 percentage points higher than predicted by the October forecast.
hawkish	In the discussion that followed the presentation of the situation report, the Board assessed the risks to the new inflation forecast at the monetary policy horizon as being slightly inflationary.
neutral	The monetary policy remained prudent, seeking to anchor inflation expectations and pave the way for the annual inflation rate to near the medium-term target.
hawkish	The Board also discussed the domestic inflation forecast, which saw inflation rising towards the upper boundary of the tolerance band in the next few quarters.
neutral	The consumer price index was likely to rise temporarily in the coming months, before easing back to around current levels by the end of the year.
neutral	The prevailing view was that negative rates were not an appropriate tool for easing monetary conditions and hence for influencing inflation directly at the monetary policy horizon.
neutral	Looking ahead, economic growth might continue in a more balanced pattern than previously, with the recovery in domestic demand likely to make a larger contribution.
dovish	Due to the increasingly stronger restrictions introduced, the economic recovery was expected to be delayed.
neutral	The NBR Board has also decided to keep unchanged the current levels of minimum reserve requirement ratios on liabilities of credit institutions.
hawkish	The domestic economy was on a growth path.
dovish	In this context, the deepening recession in the United States and in the euro area was pointed out together with a risk of further downward revisions of economic growth forecasts for Poland?s main trading partners.
hawkish	As regards domestic price developments, there was a consensus that the economy was facing inflation pressures stemming from the positive output gap and the tight labour market.
dovish	Looking ahead, a pick-up in external demand was unlikely to be a driver of economic recovery over the medium term, due to the deterioration in the outlook for business activity in Europe and at the international level.
dovish	The Board discussed the current evolution of the exchange rate and agreed that its present level was strongly anti-inflationary compared to the forecast.
hawkish	At the same time, however, Board members voiced concern over the risk that the strong inflation bout driven by supply-side shocks might trigger significant side effects via the worsening of medium-term inflation expectations and implicitly compound the efforts and costs of bringing inflation back under control, especially amid growing pressures from fundamentals. 
