hawkish	The argument was also made that the appreciation of the Czech currency against the euro was linked with developments in the region and that the decision-making of large financial investors was not based solely on the interest rate differential. 
dovish	While analysing economic situation in Poland, the Council members pointed out that the deceleration of industrial production, a further decline in construction output and weaker retail sales growth indicate that Poland?s GDP growth continues to decrease.
neutral	The Council discussed the appropriate way in which this decision should be communicated to the public.
dovish	The risks of the forecast were tilted slightly towards lower inflation and significantly towards lower interest rates.
dovish	Members of the Council pointed out that tensions connected with the deep fiscal imbalance gradually spread to other countries and in the future might affect major developed economies.
neutral	Council members judged that the picture of domestic macroeconomic conditions had not changed materially since the previous policy meeting and that the 3% inflation target could be met in 2009.
dovish	It was said several times that the situation in the euro area could be assessed as anti-inflationary owing to reduced outlooks for economic growth, inflation and the interest rate path.
hawkish	Wage inflation was not yet showing signs of slowing, particularly in the services sector, which was of particular importance for future developments in inflation.
dovish	The board members agreed that the overall balance of risks to inflation was clearly on the downside and that the new information received since the previous monetary policy meeting and since the completion of the new forecast was tending towards a more significant reduction of interest rates.
hawkish	Strong credit growth had continued in February.
hawkish	Economic growth will be supported by expected rise in investment resulting from higher inflows of EU funds, amid a steady rise in consumption.
hawkish	With regard to the future path of interest rates, the risks were heading upwards.
hawkish	Export growth was expected to continue in line with the rate of growth of external demand, which was projected to pick up markedly starting from the end of this year.
dovish	Members of the Council agreed that the global economic environment and the prospects for growth both had deteriorated more sharply than expected, and the current recession may consequently be deeper and more protracted. 
neutral	The forecast assumed that market interest rates would be flat at their current very low level and the exchange rate would be used as a monetary policy instrument until mid-2017.
dovish	It was said in the discussion that GDP growth was lagging behind the fundamentals of the Czech economy and that the weaker growth was due to low sentiment among households and corporations stemming from uncertainty at home and abroad.
dovish	Some members warned that the country?s relative position had even deteriorated further compared with Poland and the Czech Republic.
neutral	The October situation report assessed the risks to the new forecast as being balanced.
dovish	In the Council?s judgement, the outlook for the real economy had not improved, and the risk that domestic macroeconomic consolidation would take longer than elsewhere in Europe had increased.
hawkish	Some Council members emphasised that the inflation forecasts used at the NBP pointed to a higher inflation path than it had been forecasted a quarter before. 
hawkish	Under such circumstances and in light of available data, the NBR Board has decided to adopt a set of measures to tighten monetary policy.
hawkish	The Council also discussed the right time for a possible further tightening of monetary policy.
hawkish	In the case of energy sources, the rise in prices had been extraordinarily high.
hawkish	While discussing the current inflation, some members of the Council also pointed out that inflation remaining above the upper limit for deviations from the inflation target was mainly connected with the previously effected increases in regulated prices and rising unprocessed food prices.
dovish	In the opinion of some Council members, considerable deterioration in the external environment of the Polish economy and a risk of significant decline in investment and consumption demand due to deteriorating expectations about future economic situation in Poland suggested that in 2009 GDP growth in Poland might prove lower than anticipated in the NBP?s October projection. 
dovish	The increase in annual inflation rate has nevertheless been marginally lower than that projected in the most recent forecasting exercise, reflecting a relatively slower pass-through of the VAT hike to consumer prices, given the persistence of the negative output gap.
neutral	In the Council?s judgement, the current level of interest rates was appropriate to achieve the inflation target in the medium term and ensured a corresponding degree of stimulus to the real economy, and therefore no change was required.
hawkish	The acceleration in growth and the expansionary impact on demand of next year?s budget contributed to the closure of the gap. 
hawkish	However, it was said in the discussion that domestic economic growth would be higher than forecasted, especially this year, and that other sectors besides the export-oriented manufacturing industry were recovering thanks to the higher external growth. 
hawkish	It was said repeatedly that the higher wage growth, disposable income and consumption were generating appropriate inflation pressures.
dovish	In the euro area, market expectations on the interest rate path had shifted down.
neutral	The outlook for external developments was uncertain owing to the deepening global financial market crisis.
neutral	The Board agreed that the recovery in the Czech Republic would be driven primarily by exports.
dovish	Based on Q3 data, the slowdown in economic growth seemed to be slightly stronger than expected, and the recovery was likely to be more modest than previously thought, due to the prospective slowdown in external economic activity.
hawkish	There was a discussion about whether the upside risks of the forecast associated with the evolution of the domestic economy were already starting to materialise.
neutral	Consequently, inflation might come close to the 3% target.
hawkish	The real annual growth rate of domestic currency loans gained momentum, thanks to the pass-through of the successive policy rate cuts onto lending rates on new business to companies and households, also fostered by the easing of money market liquidity conditions. 
hawkish	It was therefore necessary to tighten monetary conditions further.
neutral	Monetary-policy relevant inflation was in the upper half of the tolerance band around the inflation target.
neutral	Board members looked at the monetisation of the economy as well. 
dovish	Compared to the previous macroeconomic forecast from October last year, expected inflation and forecast-consistent interest rates had been revised downwards. 
neutral	Overall, the effect of these external factors on the domestic economy was approximately neutral, whereas in the previous forecast it had been slightly anti-inflationary.
